Region,Males - 16-18,Females 16-18,Persons - 16-18,Males - 17-19,Females - 17-19,Persons - 17-19,Males - 18-20,Females - 18-20,Persons - 18-20
NEW SOUTH WALES,,,,,,,,,
Central Coast,79.2,83.8,81.4,79.2,83.6,81.4,79.1,84.3,81.7
Sydney - Baulkham Hills and Hawkesbury,84.6,87.5,86,84.6,87.7,86.1,85,88.1,86.5
Sydney - Blacktown,80.8,84.7,82.7,81.2,84.6,82.8,81.7,84.9,83.3
Sydney - City and Inner South,81.2,86.3,83.7,81.3,86.3,83.7,81.7,86.3,84
Sydney - Eastern Suburbs,83.4,86.9,85.1,83.7,86.9,85.3,84.5,87.1,85.8
Sydney - Inner South West,82,86.2,84,82.3,86.2,84.2,82.7,86.5,84.5
Sydney - Inner West,83.2,87.6,85.4,83.3,87.5,85.3,83.5,87.6,85.5
Sydney - North Sydney and Hornsby,85.3,88.1,86.7,85.4,87.8,86.6,85.7,87.9,86.8
Sydney - Northern Beaches,84.2,86.9,85.5,84.7,86.9,85.8,84.9,86.8,85.8
Sydney - Outer South West,80.6,83.6,82.1,80.2,84.4,82.3,80.2,85.1,82.6
Sydney - Outer West and Blue Mountains,79.5,84.3,81.8,79.8,83.9,81.8,80.3,84.7,82.5
Sydney - Parramatta,82,85.8,83.9,81.9,86.3,84,82.2,86.5,84.3
Sydney - Ryde,84.8,86.8,85.8,84.7,87.5,86,85,88.1,86.5
Sydney - South West,81.6,85.8,83.7,81.6,86,83.7,82,86.3,84.1
Sydney - Sutherland,83.3,86.7,85,83,86.4,84.7,83.3,86.1,84.7
Greater Sydney,82.2,86.1,84.1,82.3,86.1,84.2,82.7,86.4,84.5
Capital Region,79.5,84.6,82,79.6,85,82.2,79.9,85.3,82.5
Central West,78.4,83,80.6,78,83.3,80.6,78.9,82.7,80.7
Coffs Harbour - Grafton,78.5,84.4,81.3,78.2,84.1,81.1,78.4,83.8,81
Far West and Orana,76.6,81.7,79.1,77.2,81.9,79.5,77,82.3,79.6
Hunter Valley exc Newcastle,79.9,83.3,81.6,79.6,84.2,81.9,79.6,84.5,82
Illawarra,80.3,84.4,82.3,80.4,84.6,82.4,80.5,84.9,82.7
Mid North Coast,78.4,84.1,81.2,78.7,84.1,81.3,78.8,83.7,81.2
Murray,78.2,83.5,80.8,78.1,83.8,80.8,78.3,84.5,81.3
New England and North West,78.6,83.8,81.1,78.7,84,81.3,79.1,83.9,81.4
Newcastle and Lake Macquarie,79.7,83.5,81.6,79.4,83.5,81.4,79.5,83.8,81.6
